Time (seconds),Extracted Numbers
116.58888888888889,"5.13415, 0.30295, 1.55539, 5.12427, 0.30071, 1.54091"
233.17777777777778,"5.13403, 0.30377, 1.55956, 5.12556, 0.29514, 1.54095"
349.76666666666665,"5.13403, 0.30377, 1.55956, 5.12556, 0.29514, 1.51275"
466.35555555555555,"5.13380, 0.30482, 1.56488, 5.12607, 0.32634, 1.67284"
582.9444444444445,"5.12080, 0.30482, 1.56488, 5.12607, 0.32634, 1.67284"
699.5333333333333,"5.12033, 0.33256, 1.70281, 1.80346"
816.1222222222223,"5.13125, 0.33578, 1.72291, 0.35295, 1.80346"
932.7111111111111,"5.13125, 0.33578, 1.72291, 5.12133, 0.34151, 1.14898"
1049.3000000000002,"5.13027, 0.32101, 1.64686, 5.11933, 0.34375, 1.15976"
1165.888888888889,"5.13027, 0.32101, 1.64686, 0.34375, 1.15976"
1282.4777777777779,"5.12933, 0.30623, 1.57075, 0.37832, 1.93593"
1399.0666666666666,"5.12937, 0.30822, 1.57086, 5.11718, 0.37832, 1.93593"
1515.6555555555556,"5.12937, 0.30722, 1.57584, 0.34071, 1.74291"
1632.2444444444445,"5.12953, 0.30896, 1.58481, 0.34079, 1.18896"
1748.8333333333335,"5.12953, 0.30896, 1.58481, 0.34379, 1.75846"
1865.4222222222222,"5.13043, 0.31997, 1.64158, 1.64879"
1982.0111111111112,"5.13048, 0.31997, 1.64158, 0.32236, 1.64879"
2098.6000000000004,"5.13125, 0.3, 1.61326, 5.11577, 0.31664, 1.61985"
2215.188888888889,"5.13228, 0.32030, 1.69026, 0.31664, 1.61985"
2331.777777777778,"5.13223, 0.32933, 1.69019, 0.32062, 1.64046"
2448.366666666667,"5.13164, 0.33429, 1.71545, 0.32080, 1.64046"
2564.9555555555557,"0.33429, 1.71545, 5.11761, 0.32626, 1.66967"
2681.5444444444447,"5.13059, 0.33703, 1.72916, 5.11859, 0.32068, 1.64142"
2798.133333333333,"5.12049, 0.33109, 1.72076, 5.1, 0.32068, 1.64142"
2914.722222222222,"5.12949, 0.33429, 1.71473, 5.10843, 0.36464, 1.86273"
3031.322222222222,"5.12863, 0.32737, 1.67895, 5.10843, 0.36464, 1.86273"
3147.911111111111,"5.12863, 0.32737, 1.67895, 5.1, 0.34375, 1.15960"
3264.5,"5.12788, 0.33291, 1.70712, 5.11820, 0.32427, 1.65960"
3381.0888888888894,"5.12788, 0.33291, 1.70712, 0.32427, 1.65967"
3497.677777777778,"5.12741, 0.33537, 1.71957, 0.32499, 1.66329"
